rjd,bl,sbl
59732.984347600024,2.0,13.6
59734.020204700064,-9.2,15.2
59735.05738419993,2.5,16.3
59735.98970550019,4.8,18.3
59736.952200099826,5.0,14.4
59737.98971349979,-18.2,17.6
59739.99020250002,4.4,13.1
59740.99262310006,10.5,13.3
59741.97512480011,5.4,13.3
59742.86352769984,-22.7,18.3
59743.885765200015,-4.7,16.9
60041.097773599904,5.7,15.2
60042.06474519987,-19.9,14.2
60046.01482950011,3.0,17.4
60047.12987980014,12.1,15.1
60065.02473419998,13.9,15.4
60068.0681985002,16.6,21.4
60068.958086499944,19.6,13.0
60070.006292699836,15.0,16.8
60073.03466749983,-3.9,19.4
60075.03332979977,-0.6,15.5
60096.97489409987,-10.1,19.6
60099.00130760018,7.0,16.6
60099.99041929981,15.4,13.4
60100.928377499804,-5.6,14.8
60101.872059499845,29.2,15.0
60102.98294269992,-11.1,13.1
60104.86188540002,-11.2,11.7
60123.95939539978,3.7,14.2
60125.95396450022,5.0,11.8
60127.014348399825,1.5,12.4
60127.928144000005,-1.1,12.7
60128.99034970021,18.2,15.8
60130.929112699814,17.6,15.1
60131.92560179997,4.8,12.3
60132.92966890009,5.1,14.6
60142.924094799906,-52.8,22.2
60143.91575249983,11.5,20.3
60145.91562720016,48.8,20.3
60146.90608880017,3.9,13.8
60147.89856649982,34.3,13.3
60148.90079810005,0.5,19.5
60150.87936320016,-10.3,14.8
60151.854451700114,-32.3,21.5
60152.85219880007,-28.9,14.9
60158.9062148002,-23.4,15.2
60181.75132529996,-10.4,14.2
60184.74951160001,-1.2,12.4
60387.10762050003,-14.4,12.7
60388.14037779998,-4.2,12.9
60389.0968185002,-26.0,11.6
60391.095389800146,-46.6,18.1
60392.11964320019,-16.5,13.5
60393.106536500156,-17.4,14.2
60395.112602099776,-38.2,14.1
60397.081036100164,-33.1,14.7
60399.06643710006,-13.0,13.5
60400.05842280015,-58.7,12.8
60401.09574150015,-22.8,12.4
60402.05950440001,-3.1,11.2
60403.128998700064,-31.6,12.9
60405.10167780006,-39.7,13.9
60423.039177199826,11.8,12.9
60424.984653600026,2.5,10.2
60427.97532299999,25.3,12.2
60429.0154546001,34.9,13.0
60429.99920319999,42.1,24.1
60432.03406459978,11.5,12.9
60486.04175469978,9.9,14.5
60516.90946839983,5.8,14.6
60517.92934799986,4.1,14.3
60538.82637090003,-24.8,13.0
60539.79633500008,-4.0,16.2
60540.756978100166,-10.2,12.5
60542.76159870019,-4.1,14.9
60543.76237630006,-29.7,15.5
60571.75221069995,-0.2,12.2
60573.72385520022,12.1,13.2
60575.73083220003,6.0,17.9
60577.736483800225,-1.5,16.6
