rjd,rv,rv_err,dlW,dlW_err,dtemp,dtemp_err
59732.98434756708,-35120.33674287087,3.0117781733461912,992292.6150423514,14127.727704454945,170.89213577966052,1.3371725433054271
59734.0202047003,-35115.267075509444,3.0552062799701125,1001267.279360586,14450.142223529265,171.08956436351292,1.3681134757475115
59735.0573841905,-35113.596511145115,3.073093462191862,961412.7631563828,14479.689153509124,165.95172024626297,1.3733653479333845
59735.98970548902,-35115.48440824371,3.2590280832390617,1062748.7429770404,15359.01969509169,176.64460692416694,1.4550461030462687
59736.95220005803,-35113.292398403784,3.0488330635593472,1014371.645524003,14366.211933820456,170.8106406766472,1.3656854644990493
59737.98971346591,-35111.38197453487,3.2151289810878585,1063355.2455415078,15108.63013043602,176.6473033855117,1.4338801796773917
59739.990202532965,-35113.68089583846,2.89624520828146,1014893.6123517448,13704.653474748404,172.78301185643068,1.3073006260399975
59740.99262308888,-35111.03380855095,2.9347286653923867,1024736.4043247972,13823.117329300068,172.31874958698918,1.3184613140405037
59741.97512484866,-35110.84063234568,2.953791943982499,1032518.5792143052,13945.859575866723,172.1268189657595,1.327259010930483
59742.86352771136,-35116.73981511075,3.2594564855354817,1052739.5864910604,15256.861446919818,177.4312871273333,1.4594920362968502
59743.885765229,-35114.83502875232,3.352174307706325,1110776.949355557,15726.641799907506,183.2120231048919,1.4917856489558765
60041.09777364228,-35116.44723996359,3.068888331530069,946000.3696168634,14351.778508390767,164.05357808476273,1.358310603070194
60042.06474517798,-35120.01339284711,2.987432005645008,957420.1823387686,13944.437115230094,166.52429989195693,1.3270781094946502
60043.05063428901,-35115.90404012004,4.341295314158636,964210.1403448718,17453.57027360532,169.6055477719865,1.636057702414104
60046.014829453314,-35119.16568822599,3.144073035008626,1040561.2968906706,14862.625032838796,176.11829243074595,1.4180496651707073
60047.129879788845,-35117.82182900833,3.15822479394896,975420.3805037192,14746.896365490738,168.1587407453923,1.4035787666768025
60065.02473419556,-35106.67598887502,3.064049538443028,1056969.3312945047,14402.776746756115,178.40830473334017,1.3730778533444177
60068.0681985378,-35132.84437067528,3.525106509416455,1063364.1290020286,16728.401974466353,178.0209221522543,1.5827051538201746
60068.9580864748,-35123.79422917693,3.036885752005641,1016971.6056270376,14274.206910500345,173.82537667266533,1.3663857037709943
60070.00629274105,-35112.20479430233,3.1810553285836267,1059854.0007731295,15220.224235462896,178.8909700837933,1.443394021174345
60073.03466749634,-35116.230614669854,3.1475385306253023,988946.5971751274,14820.989830210236,168.43072731663997,1.4092614377936283
60075.03332981083,-35113.98210390398,2.955577816345777,1004146.4361017704,13907.658805160012,170.2198485361179,1.3315742240981312
60096.97489405877,-35116.92057826427,3.314140415017408,1042464.823846014,15762.047421701058,176.63379028500066,1.4916055274691291
