pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,st_vsin,sy_dist
Kepler-1167 b,Kepler-1167,1.003933739,2.678e-06,-2.678e-06,0.0175,1.71,0.12,-0.12,3.57,,,3.92,,,1419.0,,,0.0,,,1039.697,79.399,-73.021,,4971.0,0.75,0.79,-0.05,4.27,,820.905
Kepler-1740 b,Kepler-1740,8.172400475,,,0.0779,3.32321414,,,11.0,,,1.65,,,858.0,,,0.0,,,127.95,45.45,-20.22,,5705.0,0.905,0.943,-0.06,,,1061.77
Kepler-1581 b,Kepler-1581,6.28385491,4.246e-05,-4.246e-05,0.06865,0.8,0.14,-0.09,0.437,,,4.69,,,1108.0,,,0.0,,,470.862,13.694,-13.328,,6022.0,1.23,1.12,0.07,4.17,,493.175
Kepler-644 b,Kepler-644,3.173917103,4.229e-06,-4.229e-06,0.04641,3.15,1.16,-0.61,10.1,,,1.78,,,1655.0,,,0.0,,,2381.77,151.194,-140.773,,6747.0,1.81,1.49,0.08,1.62,,1318.05
Kepler-1752 b,Kepler-1752,56.35850143,,,0.2698,4.54060463,,,18.7,,,1.1,,,419.0,,,0.0,,,7.29,4.34,-2.1,,5446.0,0.821,0.824,-0.2,7.2,,962.888
Kepler-280 c,Kepler-280,4.807091,9e-06,-9e-06,0.056,2.01,0.97,-0.97,4.7,,,3.18,,,1088.0,,,0.0,,,279.085,10.032,-9.68,,5744.0,0.886,0.962,0.1213,5.62,,780.361
Kepler-1208 b,Kepler-1208,11.08507637,5.235e-05,-5.235e-05,0.0901,2.32,0.19,-0.14,5.99,,,2.64,,,665.0,,,0.0,,,37.664,3.592,-3.226,,5001.0,0.76,0.8,-0.03,4.47,,825.176
Kepler-263 c,Kepler-263,47.332773,0.000456,-0.000456,0.242,2.47,1.35,-1.35,6.66,,,2.43,,,386.0,,,0.0,,,5.994,0.379,-0.353,,5265.0,0.785,0.793,-0.0314,2.24,,754.747
Kepler-1101 b,Kepler-1101,81.3151059,0.0005693,-0.0005693,0.3483,2.47,0.37,-0.21,6.66,,,2.43,,,393.0,,,0.0,,,3.577,0.177,-0.168,,5614.0,0.91,0.94,-0.04,4.27,,742.473
HD 168746 b,HD 168746,6.404,0.0014,-0.0014,0.07,11.1,,,85.8141,6.3566,-6.3566,0.345,,,900.0,,,0.11,0.08,-0.08,,,,G5,5570.0,1.09,1.07,-0.08,8.0,1.0,41.5681
K2-19 b,K2-19,7.9222,0.0001,-0.0001,0.074,7.0,0.2,-0.2,32.4,1.7,-1.7,0.52,0.05,-0.05,779.0,21.0,-21.0,0.2,0.03,-0.03,87.0,9.0,-9.0,G9 V,5322.0,0.82,0.88,0.06,8.0,3.0,289.827
Kepler-560 b,Kepler-560,18.47764449,1.517e-05,-1.517e-05,0.0899,1.72,0.09,-0.09,3.61,,,3.9,,,298.0,22.0,-32.0,0.17,0.07,-0.04,2.46,0.251,-0.23,,3556.0,0.33,0.34,-0.39,4.07,,109.308
Kepler-150 d,Kepler-150,12.56093,3.6e-05,-3.6e-05,0.104,2.79,0.41,-0.41,8.2,,,2.07,,,734.0,,,0.0,,,65.142,3.173,-3.011,,5560.0,0.939,0.956,0.12,1.74,,891.092
